file	title	words
the_gold_bug	The Gold-Bug	13409
the_black_cat	The Black Cat	3849
mesmeric_revelation	Mesmeric Revelation	3680
lionizing	Lionizing	1609
the_fall_of_the_house_of_usher	The Fall of the House of Usher	7075
a_descent_into_the_maelstr_m	A Descent into the Maelström	6925
the_colloquy_of_monos_and_una	The Colloquy of Monos and Una	3414
the_conversation_of_eiros_and_charmion	The Conversation of Eiros and Charmion	1994
the_murders_in_the_rue_morgue	The Murders in the Rue Morgue	13677
the_mystery_of_marie_roget	The Mystery of Marie Roget	20089
the_purloined_letter	The Purloined Letter	6987
the_man_in_the_crowd	The Man in the Crowd	3502
